key	status	assignee	updated	priority	fixVersion	summary
VMX-7478	New	james.cw.chou	2026-05-13	2 - Medium		[VisionAgent] [AOS] Modify the app codes according to new API
VMX-7477	New	andrew.cheng	2026-05-13	2 - Medium		[VisionAgent] [iOS] Modify the app codes according to new API
VMX-7475	New	spencer.su	2026-05-14	2 - Medium		Live View & Watch Live View functions
VMX-7474	New	elvis.tran	2026-05-13	2 - Medium		Constrant Lens Covered events, no media snapshot upload and triggering during non active trip
VMX-7473	New	nroudakova	2026-05-12	2 - Medium		Wrong stop sign position
VMX-7472	New	nroudakova	2026-05-12	2 - Medium		Extra School zone sign
VMX-7471	New	leo.tsai	2026-05-13	2 - Medium		Add information to the Event MQTT payload to indicate which cameras should apply the corresponding model's blurry function
VMX-7470	New	jay.qiu	2026-05-13	2 - Medium		ANR crash occurs on camera App 11.2.27.5
VMX-7469	New	chiehli.wang	2026-05-12	2 - Medium		[API] telemetry data for API usage
VMX-7468	New	leo.tsai	2026-05-12	2 - Medium		Improve the IOSix dongle firmware update process
VMX-7466	Open	hsinyi.chang	2026-05-12	2 - Medium		Add video duration info to SD card video filename
VMX-7465	New	neil.kuo	2026-05-12	2 - Medium		Error in assigning device to fleet
VMX-7464	New	chiehli.wang	2026-05-12	2 - Medium		Implement a Cloud Worker responsible for overlaying and rendering CDR videos with debug logs, and asynchronously calling back the Backend upon completion.
VMX-7462	Open	lucy.sw.yen	2026-05-12	2 - Medium		[UI/GUI] Rollover Event
VMX-7461	New	elvis.tran	2026-05-12	2 - Medium		Camera is not uploading any trips or event videos
VMX-7459	New	lucy.sw.yen	2026-05-12	2 - Medium		Disable Lens Cover Event
VMX-7458	New	pokai.huang	2026-05-12	2 - Medium		[VisionMax] [GUI] Blurring control UI on Master/Fleet Portal for non-API customers
VMX-7457	New	spencer.su	2026-05-12	2 - Medium		[API]Integrate BMS Blurring functionality into VisionMax cloud
VMX-7456	New	spencer.su	2026-05-12	2 - Medium		IOSiX IO-2050 Pending Integration Items for All Aware / Alarm.com
VMX-7451	New	james.cw.chou	2026-05-08	2 - Medium		[VisionAgent] [AOS] Downloaded Videos GUI Issues
VMX-7448	New	james.cw.chou	2026-05-11	2 - Medium		[VisionAgent] [AOS] Call Device Button Malfunction
VMX-7441	New	spencer.su	2026-05-13	2 - Medium		[Master Portal] The Blurry feature can be turned on or off via the API in the portal
VMX-7437	New	james.cw.chou	2026-05-07	2 - Medium		[VisionAgent] New Feature Task
VMX-7434	Open	nroudakova	2026-05-07	2 - Medium		Orbis format review
VMX-7433	New	neil.kuo	2026-05-07	1 - High		[VM Monthly usage]These report are for APR Invoicing, MAR details should not be included.
VMX-7432	New	lucy.sw.yen	2026-05-06	2 - Medium		【VMX / Fleet】Add a detect rule 'Detect Yawing' toggle under Fatigue Configuration
VMX-7431	New	woody.lee	2026-05-08	2 - Medium		Speed sign recognition triggering incorrect speed
VMX-7430	New	woody.lee	2026-05-06	2 - Medium		Improve speed sign recognition to not detect exit ramp speed
VMX-7429	New	charlie.tychen	2026-05-06	2 - Medium		新增smartlink SETHOUS API for LM request
VMX-7427	New	righter.song	2026-05-05	2 - Medium		Quantatec - 增加語音檔obstruction removed
VMX-7426	In Progress	luke.cheng	2026-05-05	2 - Medium		[Web UI] supporting event playback for new camera ID: S_F_R
VMX-7424	New	joe.lien	2026-05-04	2 - Medium		[API] new configuration item for Camera ID: S_F_R
VMX-7423	New	neil.kuo	2026-05-06	2 - Medium		[API] new Camera ID: S_F_R for video upload
VMX-7422	New	neil.kuo	2026-05-05	2 - Medium		[API] new Camera ID: S_F_R for video request
VMX-7421	New	joe.lien	2026-05-04	2 - Medium		[API] new Camera ID: S_F_R for video type hint
VMX-7420	New	joe.lien	2026-05-04	2 - Medium		[API] new Camera ID: S_F_R for video storage
VMX-7418	New	joe.lien	2026-05-04	2 - Medium		[API] 新增 configuration item
VMX-7417	New	elvis.tran	2026-05-04	2 - Medium		Trip data not captured and no video recording but logs captured
VMX-7408	New	chiehli.wang	2026-05-04	2 - Medium		將Debug View log隨著影片上傳到Cloud
VMX-7405	New	spencer.su	2026-04-28	2 - Medium		Ability to copy configuration settings from existing fleet to new fleet.
VMX-7404	New	jimmy.jy.huang	2026-04-29	2 - Medium		[2026Q1_user_try] Tirp 中沒有"ADAS start" 也沒有"ADAS failure" 的event
VMX-7402	Open	jack.fl.chen	2026-04-24	2 - Medium		[Implementation] Single SKU 新增 S_F_R capture mode（Front + UVC side-by-side）
VMX-7394	New	spencer.su	2026-04-22	2 - Medium		[API] CTE err
VMX-7389	New	brian.chienlee	2026-04-22	2 - Medium		Add sim card ICCID information to assigned inventory report
VMX-7387	New	spencer.su	2026-05-12	2 - Medium		Add the Video Cradle and Video Hub information to the Configuration tab
VMX-7386	Pending	cary.lo	2026-04-21	1 - High		MAU Device Provisioning: AUTOSENSE
VMX-7375	New	leo.tsai	2026-05-07	2 - Medium		[VisionAgent] [iOS] [aOS] Add Manual End Button on Trip Details Page
VMX-7374	New	leo.tsai	2026-05-07	2 - Medium		[VisionAgent] [iOS] [aOS] Add Parking Photo Button on Trip Details Page
VMX-7373	New	hsinyi.chang	2026-05-12	2 - Medium		GPS 未定位時相關欄位（事件 / GPS）內容處理規則
VMX-7372	New	leo.tsai	2026-05-13	2 - Medium		[Seeing Machines] SM DMS APP整合&測試
VMX-7369	Fail	leo.tsai	2026-04-17	2 - Medium		回覆客戶 CDR SDK Customer QA 文件
VMX-7368	New	joe.lien	2026-05-04	2 - Medium		[API] 新增 configuration item
VMX-7367	New	joe.lien	2026-05-04	2 - Medium		[API] 新增事件
VMX-7364	New	luke.cheng	2026-04-17	2 - Medium		[Web UI] Request outside of trip
VMX-7363	New	lucy.sw.yen	2026-04-22	2 - Medium		Add more types to user activity logs function
VMX-7362	In Progress	luke.cheng	2026-05-13	2 - Medium		[Web UI] Add GA code for tracking
VMX-7361	New	luke.cheng	2026-05-11	2 - Medium		[Web UI] 棄用舊的 playback
VMX-7360	New	neil.kuo	2026-05-07	2 - Medium		[API] SD card file lists
VMX-7359	New	joe.lien	2026-05-07	2 - Medium		[API] 新增 configuration item
VMX-7358	New	luke.cheng	2026-05-07	2 - Medium		[Web UI] new configuration item
VMX-7355	New	lynn.yl.huang	2026-05-13	2 - Medium		[K265][MAU] Base Image OTA upgrade failure
VMX-7354	In Progress	joe.lien	2026-05-12	2 - Medium	CameraAPP_202605	[AZUGA SmartLink] event / trip 新增 vehicle 欄位上傳
VMX-7342	New	joe.lien	2026-05-13	2 - Medium	CameraAPP_202605	[AZUGA SmartLink] VIN_CHANGE - Trip 開始時 VIN 變更事件
VMX-7340	Open	joe.lien	2026-04-23	2 - Medium	CameraAPP_202605	[AZUGA SmartLink] LOW_FUEL - 低油量警示事件
VMX-7339	New	joe.lien	2026-04-23	2 - Medium	CameraAPP_202605	[AZUGA SmartLink] FUEL_DECREASE / FUEL_INCREASE - 燃油劇變事件（偷油 / 加油偵測）
VMX-7338	New	simon.wu	2026-05-04	2 - Medium		[AZUGA SmartLink] DTC_MESSAGE - 車輛診斷碼事件（原始格式）
VMX-7336	Open	allen.yc.chung	2026-05-13	2 - Medium		[AZUGA SmartLink] HARD_TURN - Y 軸急轉彎事件
VMX-7335	New	joe.lien	2026-05-13	2 - Medium		[AZUGA SmartLink] ACCIDENT_DETECTION - 撞擊事件（含 10Hz NMEA G-sensor）
VMX-7333	New	jack.fl.chen	2026-05-07	2 - Medium		[AZUGA SmartLink] HARD_ACCELERATION / HARD_BRAKING - 急加速 / 急煞車事件
VMX-7332	Open	joe.lien	2026-05-06	2 - Medium	CameraAPP_202605	[AZUGA SmartLink] IDLING_STARTED / ENDED - 怠速事件（RPM + Speed 判定）
VMX-7331	New	joe.lien	2026-05-11	2 - Medium	CameraAPP_202605	[AZUGA SmartLink] OVER_SPEEDING_START / END - 超速事件（閾值可配置）
VMX-7330	In Progress	hsinyi.chang	2026-05-12	2 - Medium	CameraAPP_202605	[AZUGA SmartLink] GPS_MESSAGE - 10 秒週期 GPS 上報
VMX-7329	New	hsinyi.chang	2026-05-13	2 - Medium		[AZUGA SmartLink] ENGINE_ON / ENGINE_OFF - 引擎啟閉事件
VMX-7324	Open	elvis.tran	2026-04-14	2 - Medium		Improve smoking event accuracy
VMX-7321	New	brian.chienlee	2026-04-14	2 - Medium		School zone speed sign violation outside school times
VMX-7320	New	vincent.ho	2026-04-14	2 - Medium		Speed sign violation when driving at or below the sign posted speed limit
VMX-7317	New	vincent.ho	2026-05-11	2 - Medium		Rastrac – False Speed Event Review
VMX-7316	New	leo.tsai	2026-04-22	2 - Medium		[AZUGA SmartLink] 新增事件支援（總單）
VMX-7315	In Progress	charlie.tychen	2026-05-12	2 - Medium		New API implementation for AZUGA requirement
VMX-7314	New	spencer.su	2026-04-13	2 - Medium		[API] JWT 支援 socpe 將 token 授權最小化
VMX-7312	New	spencer.su	2026-04-14	2 - Medium		[API] Performance improvments
VMX-7309	Open	joe.lien	2026-04-27	2 - Medium	CameraAPP_202605	Provide the configuration of the EyeStableRate threshold
VMX-7306	New	righter.song	2026-04-29	2 - Medium		[Fix] MiCamView.openCamera crash when no camera enabled (NoSuchElementException)
VMX-7304	New	chiehli.wang	2026-04-08	2 - Medium		[API] multiple errors
VMX-7303	New	spencer.su	2026-04-07	2 - Medium		[API] unknow certificate id
VMX-7301	New	spencer.su	2026-04-24	2 - Medium		[API] wrong datetime value
VMX-7292	New	brian.chienlee	2026-04-28	2 - Medium		[Fleet] Event Data 狀態停留在 uploading
VMX-7291	In Progress	luke.cheng	2026-04-07	2 - Medium		[Master] 安裝 Vitest (Unit Test )
VMX-7290	In Progress	luke.cheng	2026-04-02	2 - Medium		[Fleet] 安裝 Vitest (Unit Test )
VMX-7284	New	chiehli.wang	2026-05-12	2 - Medium		MAU Customer API access summary
VMX-7282	Open	travis.tsai	2026-04-08	2 - Medium		DSNY - Add obstruction event
VMX-7277	New	elvis.tran	2026-03-30	2 - Medium		Video Retrieval tasks are not processing but after multiple attempts it is successful
VMX-7276	Open	elvis.tran	2026-03-31	2 - Medium		[Seeing Machines] Review logs for potential APN drop out issue
VMX-7273	New	leo.tsai	2026-03-31	2 - Medium		DSNY Camera Pilot Project - RTR+Camera Integration
VMX-7271	New	simon.wu	2026-05-13	2 - Medium		LB測試driver id問題回報
VMX-7267	New	ben.ko	2026-05-07	Gating		[VisionAgent] [iOS] [aOS] Allow users to edit comments
VMX-7266	New	elvis.tran	2026-03-27	2 - Medium		TT AU MMF - Overspeed warning over 0kph instead of selected severity setting
VMX-7261	New	elvis.tran	2026-03-30	2 - Medium		Retrieve logs for SD card not initiated error
VMX-7256	New	elvis.tran	2026-05-12	2 - Medium		Scheduled reports function
VMX-7254	In Progress	joe.lien	2026-05-12	2 - Medium	CameraAPP_202605	Cloud integration for rollover event and configuration
VMX-7251	Deferred	spencer.su	2026-04-17	2 - Medium		[Master][API] Dashboard Fleet Id "org_user_54" 數量不對
VMX-7246	New	charlie.tychen	2026-04-09	2 - Medium		[AlignOps][IOSix] Abnormal firmware update behavior
VMX-7245	New	eric.h	2026-03-26	2 - Medium		Issue with DMS footage
VMX-7242	New	leo.tsai	2026-03-19	2 - Medium		評估 MiAI log 加進 mp4 的可行性
VMX-7240	New	elvis.tran	2026-03-26	2 - Medium		DMS / ADAS events with customised settings, cooling off period and max number of events per trip
VMX-7238	New	elvis.tran	2026-03-23	2 - Medium		K245 acc/ign on and off timestamps are not updating
VMX-7237	New	elvis.tran	2026-03-23	2 - Medium		Acc / ign off and acc / ign on timestamps aren't updating the same time or only one is updated
VMX-7235	New	hsinyi.chang	2026-04-15	2 - Medium		Improve the status reporting mechanism for video clip tasks
VMX-7233	New	lucy.sw.yen	2026-04-16	2 - Medium		[VisionAgent] 埋GA Code
VMX-7224	New	jack.fl.chen	2026-04-23	2 - Medium		Integration of the UVC camera and road-facing camera in a side-by-side format
VMX-7223	New	charlie.tychen	2026-03-13	2 - Medium		新增 IO-2152 Reset Command for BMS
VMX-7217	New	jimmy.jy.huang	2026-04-08	2 - Medium		DMS 觸發條件整理
VMX-7216	New	righter.song	2026-04-22	2 - Medium		Support the data of IOSix dongle
VMX-7215	New	spencer.su	2026-04-21	2 - Medium		The video clipping function supports Cradle videos.
VMX-7211	New	joe.lien	2026-03-10	2 - Medium		S3 檔案沒有 tag
VMX-7204	New	joe.lien	2026-04-22	2 - Medium	CameraAPP_202605	Ability to force camera updates OTA whilst camera / ACC igniton ON state
VMX-7200	New	jimmy.jy.huang	2026-03-25	2 - Medium		Help review distracted events to confirm if they are true or false event
VMX-7199	New	brian.chienlee	2026-03-09	2 - Medium		LTE connection lost / out of coverage event
VMX-7195	New	leon.lan	2026-04-08	2 - Medium		Video captured showing split image (half of FFC duplicated) in one video and unable to retrieve video
VMX-7194	New	mori.jhang	2026-05-13	2 - Medium		Vehicle rollover event detection
VMX-7181	New	joe.lien	2026-02-26	1 - High		[API] Event process fail
VMX-7177	New	elvis.tran	2026-03-19	2 - Medium		[Seeing Machines] Video retrievals aren't processing
VMX-7175	New	brian.chienlee	2026-02-13	2 - Medium		比較 610 與 6490 performance
VMX-7164	New	brian.chienlee	2026-03-12	2 - Medium		Request to add BI and RI version to assigned inventory list report
VMX-7160	In Progress	neil.kuo	2026-04-30	2 - Medium		[Bill]避免大量 org / device 處理時的記憶體爆炸：調整 task / billing_plan / device_plan 調整 CSV 輸出機制
VMX-7158	New	elvis.tran	2026-03-19	1 - High		Connect Source cameras are not updating BI and RI OTA and show as pending
VMX-7153	Pending	elvis.tran	2026-02-04	2 - Medium		Camera not reporting any data usage
VMX-7151	New	brian.chienlee	2026-04-17	2 - Medium		Safety Score at the vehicle level instead of by driver
VMX-7150	New	chiehli.wang	2026-05-12	2 - Medium		[API]Add a new API for available event listing
VMX-7149	In Progress	spencer.su	2026-05-07	2 - Medium	CameraAPP_202605	LB Technology - Plow PTO status via GPIO input and snapshot
VMX-7147	New	mori.jhang	2026-03-13	1 - High		Camera recording no longer exists and unable to playback
VMX-7144	In Progress	andrew.cheng	2026-05-12	2 - Medium		[FleetAPP] Prepare App Store Listing Assets
VMX-7140	New	leo.tsai	2026-01-28	2 - Medium		Flespi - Configuration feasibility
VMX-7139	New	leo.tsai	2026-01-28	2 - Medium		Flespi - OTA feasibility
VMX-7138	New	leo.tsai	2026-01-28	2 - Medium		Flespi - Playback feasibility
VMX-7137	New	leo.tsai	2026-01-28	2 - Medium		Flespi - Liveview feasibility
VMX-7136	New	leo.tsai	2026-01-28	2 - Medium		Flespi - Video upload feasibility
VMX-7135	New	leo.tsai	2026-01-28	2 - Medium		Flespi - GPS upload feasibility
VMX-7132	New	ben.ko	2026-05-12	2 - Medium		#179 Allow users to request footage outside the trip from SD card
VMX-7115	New	leo.tsai	2026-03-11	2 - Medium		Flespi - Function feasibility
VMX-7110	New	elvis.tran	2026-01-28	1 - High		[Customer Reported]伺服器已發送剪輯指令，裝置有上線紀錄卻未啟動剪輯任務
VMX-7101	New	jimmy.jy.huang	2026-03-24	2 - Medium		LDWS Improving (Server)
VMX-7099	New	allen.yc.chung	2026-03-19	1 - High		Migrate IOSix service to AZUGA server
VMX-7088	New	brian.chienlee	2026-05-07	2 - Medium		New Role as Viewer only
VMX-7087	New	brian.chienlee	2026-01-15	2 - Medium		Improve device diagnostics
VMX-7083	New	lucy.sw.yen	2026-01-14	2 - Medium		Update the content of safety reports
VMX-7082	New	lucy.sw.yen	2026-05-06	2 - Medium		於VMX Fleet Portal 與 Master Portal 中埋設GA的追蹤Code
VMX-7078	New	doris.lin	2026-04-07	2 - Medium		[VisionMax] V-Hub 支援整合測試
VMX-7077	New	elvis.tran	2026-01-13	2 - Medium		Camera is reporting sensor error and not recording any impact/sensor events
VMX-7076	New	elvis.tran	2026-01-12	2 - Medium		Camera displaying UVC camera error but it is recording video
VMX-7075	New	elvis.tran	2026-01-13	2 - Medium		Cameras not recording, no event triggering, live view showing black screen, unable to playback video.
VMX-7072	New	spencer.su	2026-04-14	2 - Medium		[API] [Performance] SI search device
VMX-7071	New	spencer.su	2026-01-09	2 - Medium		Send Email Notification After Device Import to VisionMax
VMX-7054	New	leon.lan	2026-04-02	2 - Medium		Unexpected device shutdown
VMX-7050	In Progress	spencer.su	2026-04-17	2 - Medium	CameraAPP_20260325_11.2.26.17	Add Plow Lowered Settings from Cloud
VMX-7033	New	simon.wu	2025-12-24	2 - Medium		VMAX Platform Stops Refreshing Live OBD-II Data Until CDR Is Hard Rebooted
